;text
0;....Faîtes la location d'un appartement de grande dimension pour un T2 disposant d'une belle....terrasse extérieure sur la commune de Juan Les Pins. Cet appartement est au 1er étage. Agence Mercier se fera un plaisir de vous aider pour plus d'informations. Le logement se compose d'une salle d'eau, un espace cuisine et une chambre. La surface intérieure habitable mesure environ 47.2 m². Le bien donne accès à un espace de stockage en sous-sol. La tranquillité des occupants est garantie par le double vitrage. Pour profiter de l'extérieur, vous disposerez d'une terrasse pour manger à l'air libre. La propriété s'accompagne d'un parking privatif pour garer son véhicule. Le coût du loyer s'élève à 930 € mensuels. Le propriétaire exige une caution fixée à 850 €. Réf. Annonce: 354.............Obtenir l'adresse......Être rappelé......Demander une visite......
1;....Nice Saint Roch (rue Jean André), dans un immeuble niçois en rez-de-chaussée...., un appartement vide de deux pièces au calme (donnant à l'arrière de l'immeuble) se composant d'une pièce principale avec kitchenette équipée (plaques de cuisson), une chambre, une salle d'eau, un WC séparé, une petite terrasse privative. Il faut prendre un abonnement eau, électricité et internet. Il faut un revenu minimum de 1600 euros net/mois sans heures supplémentaires, ni primes (assurance garantie des loyers impayés) Proche Fac St Jean d'Angely, tramway, grande corniche, gare de Riquier et tous commerces. Surface habitable: 28 m²Loyer: 602 euros/mois charges comprises dont 38 euros/mois de provisions sur charges (régularisation annuelle) Dépôt de garantie: 602 euros Honoraires charge locataire: 364 euros TTC dont honoraires état des lieux charge locataire: 84 euros TTC.............Obtenir l'adresse......Être rappelé......Demander une visite......
2;ANTIBES, Dans un environnement calme et sécurisé , Tennis , Piscine, parc arboré et Gardien...Très beau 4pièces climatisé, rénové avec gout...Il est composé d'un spacieux et lumineux salon-séjour, donnant sur une belle loggia idéalement exposée, d'une cuisine aménagée et équipée donnant sur un balcon ou vous pourrez y installer sèche-linge et barbecue...Pour le coin nuit, il dispose de 3 belles chambres dont attenant un dressing tout équipée , et toutes avec de grands placards, d'une salle de bains et d'un WC indépendant...Pour le stationnement, un garage de 14 m², ainsi que beaucoup de places de parking visiteurs...Une cave de 4m² saine et sèche vient compléter ce bien...proche toutes commodités, transport , axe routier ,je vous invite sans tarder à visiter ce bien vous et votre famille...Secteur Juan-les-pins, Sophia-Antipolis, Biot, Cannes,Villeneuve-loubet Nombre de lots de la copropriété : 580, Montant moyen annuel de la quote-part de charges (budget prévisionnel)(eau froide,parties communes,ascenseur,gardien,tennis,piscine,espaces verts) : 3000€ soit 250€ par mois. Les honoraires sont à la charge du vendeur. Réseau Immobilier CAPIFRANCE - Votre agent commercial Frantz LEBERT - Plus d’informations sur le site de CAPIFRANCE (réf.696412)..Ascenseur..Espaces verts..Nom du négociateur : LEBERT Frantz....Honoraire à la charge du Vendeur..Bien En copropriété : oui..Nombre de lots de la copropriété : 580..Montant moyen des Charges annuelles : 3000 euros..Procédure sur le Syndicat des copropriétaires : non..Statut du négociateur : agent commercial indépendant....
3;....Nice Saint Roch (rue du Docteur Fighiera) dans un immeuble niçois sécurisé au....1er étage avec ascenseur, un studio meublé au calme (donnant sur cour) comportant une petite entrée desservant la pièce principale avec kitchenette (plaques de cuisson, réfrigérateur-congélateur, machine à laver, micro-ondes), une salle de douche avec WC, double vitrage.. Dans les charges sont compris l'eau froide, l'eau chaude est par cumulus, le chauffage par convecteurs électriques. Il faut prendre un abonnement électricité et possibilité de conserver internet pour 30 euros/mois. Proche fac Saint Jean d'Angely, gare de Riquier, bus, tramway et tous commerces. Il faut un revenu minimum de 1 516 euros net/mois sans heures supplémentaires, ni primes (assurance garantie des loyers impayés). Surface habitable: 21.48 m² Loyer: 500 euros/mois charges comprises dont 40 euros/mois de provisions sur charges (régularisation annuelle) Dépôt de garantie: 920 eurosHonoraires charge locataire: 279.24 euros TTC dont honoraires état des lieux charge locataire: 64.44 euros TTC.............Obtenir l'adresse......Être rappelé......Demander une visite......
4;GRASSE SUD, maison 5 chambres et studio indépendant, sur terrain 5213 m², magnifiquement arboré avec piscine 11,5 X 5 et pool house. La maison propose au rez-de-chaussée une entrée, une cuisine indépendante aménagée, vaste séjour/salon avec cheminée, l'ensemble ouvert sur belle terrasse ombragée et piscine, une chambre avec salle de bains, toilettes invités, vaste cellier. A l'étage 4 chambres, un bureau, une salle de douche, un WC. Nombreux oliviers, potager, 2 box à chevaux. Double garage, parkings. Enorme potentiel, fosse septique aux normes, prévoir travaux de rafraîchissements. ..Honoraires inclus charge vendeur Contactez Evelyne PAPA.
5;....MURS - VIEUX NICE proche ROSSETTI - centre historique, murs commerciaux, restauration adresse de....qualité, plus de 100 m², excellent investissement. - VIEUX NICE proche ROSSETTI - Emplacement exceptionnel pour ces murs commerciaux situés en c ? Ur du Centre Historique de la Ville, occupés par une très belle adresse culinaire reconnue depuis plus de 10 ans. Cuisine de qualité ouverte sur la salle principale avec belle vitrine sur la rue. A l'étage une salle feutrée pour petit comité. Présence également d'une belle salle en sous-sol, cave voûtée.. Une salle chargée d'histoire. L'ensemble soigneusement entretenue, des éléments historiques conservés, du volume et du passage. Une belle adresse pour ces murs exploités par un fond commercial (restaurant familiale) de qualité. Bel investissement. Dossier eco et étude de rentabilité sur demande / sur rdv. - Nous avons d'autres photos et vidéos sur demande, contactez nous pour organiser une visite à distance. LEGGETT IMMOBILIER, un large choix de propriétés à la vente, plus de 11 000 biens à vendre sur notre site internet, ainsi que de nombreuses visites virtuelles 360 .............Obtenir l'adresse......Être rappelé......Demander une visite......
6;....Menton Borrigo, bel appartement de 4/5 pièces d'une superficie de 82 m² avec balcon..... - Menton Borrigo, Bel appartement de 4/5 pièces d'une superficie de 82 m² avec balcon. Il se compose d'un double salon, de trois chambres, d'une salle d'eau, de toilettes, d'une cuisine indépendante avec loggia, d'une buanderie ainsi que d'un balcon d'environ 7 m². L'appartement est très lumineux, il bénéficie d'une double exposition et offre de beaux volumes avec possibilité de créer facilement une 4ème chambre. Equipé de double vitrage, très fort potentiel pour ce bien à rénover. Parking extérieur et grande cave. Proche de toutes commodités (supermarché, bus, école, lycée) - Nous avons d'autres photos et vidéos sur demande, contactez nous pour organiser une visite à distance. LEGGETT IMMOBILIER, un large choix de propriétés à la vente, plus de 11 000 biens à vendre sur notre site internet, ainsi que de nombreuses visites virtuelles 360 .............Obtenir l'adresse......Être rappelé......Demander une visite......
7;....Fonds de commerce 160 m² Beausoleil proche Monaco - Bel établissement proposant une....restauration sur place ou à emporter d'une superficie de 160 m². Emplacement idéal à proximité immédiate des escalators du marché de Beausoleil, à seulement quelques pas de Monaco. Il dispose d'une vitrine de 11 mètres linéaires sur rue semi piétonne, 20 places en intérieur et 14 places en terrasse. Très fort potentiel de développement. Dossier complet sur demande. - Nous avons d'autres photos et vidéos sur demande, contactez nous pour organiser une visite à distance. LEGGETT IMMOBILIER, un large choix de propriétés à la vente, plus de 11 000 biens à vendre sur notre site internet, ainsi que de nombreuses visites virtuelles 360 .............Obtenir l'adresse......Être rappelé......Demander une visite......
8;....Menton Bel appartement de 3 pièces de 56 m² balcon, cave et parking - Menton Haut du....Borrigo, très bel appartement de 3 pièces de 56 m² avec balcon. Composé d'un beau salon, de deux chambres, d'une salle d'eau avec toilettes, d'une cuisine donnant sur séjour, d'une buanderie. Il offre un beau balcon de 7 m². Proche de toutes commodités - Nous avons d'autres photos et vidéos sur demande, contactez nous pour organiser une visite à distance. LEGGETT IMMOBILIER, un large choix de propriétés à la vente, plus de 11 000 biens à vendre sur notre site internet, ainsi que de nombreuses visites virtuelles 360 .............Obtenir l'adresse......Être rappelé......Demander une visite......
9;....Cannes Palm Beach, superbe appartement de 3 pièces avec un jardin dans une résidence....de standing, à quelques minutes de la plage. - Cannes, Palm Beach, à quelques mètres de la plage, superbe appartement de 3 pièces de 78 m² en parfait état situé dans une résidence de standing, ouvrant sur une terrasse et un jardin de 123 m² avec 2 garages. - Nous avons d'autres photos et vidéos sur demande, contactez nous pour organiser une visite à distance. LEGGETT IMMOBILIER, un large choix de propriétés à la vente, plus de 11 000 biens à vendre sur notre site internet, ainsi que de nombreuses visites virtuelles 360 .............Obtenir l'adresse......Être rappelé......Demander une visite......
